GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more person household
1500000US510131007003,510131007003,"Block Group 3, Census Tract 1007, Arlington County, Virginia",222,42,93,42,26,11,5,3
1500000US510131007004,510131007004,"Block Group 4, Census Tract 1007, Arlington County, Virginia",290,65,117,52,42,11,3,0
1500000US510131007005,510131007005,"Block Group 5, Census Tract 1007, Arlington County, Virginia",764,253,240,109,85,39,19,19
1500000US510131008001,510131008001,"Block Group 1, Census Tract 1008, Arlington County, Virginia",351,70,109,71,49,20,13,19
1500000US510131008002,510131008002,"Block Group 2, Census Tract 1008, Arlington County, Virginia",138,42,28,21,19,9,7,12
1500000US510131009001,510131009001,"Block Group 1, Census Tract 1009, Arlington County, Virginia",298,55,127,48,41,19,4,4
1500000US510131009002,510131009002,"Block Group 2, Census Tract 1009, Arlington County, Virginia",235,51,88,40,42,8,3,3
1500000US510131009003,510131009003,"Block Group 3, Census Tract 1009, Arlington County, Virginia",229,38,94,31,48,15,1,2
1500000US510131009004,510131009004,"Block Group 4, Census Tract 1009, Arlington County, Virginia",702,364,177,62,60,23,11,5
1500000US510131009005,510131009005,"Block Group 5, Census Tract 1009, Arlington County, Virginia",223,37,83,46,37,17,3,0
1500000US510131010001,510131010001,"Block Group 1, Census Tract 1010, Arlington County, Virginia",303,104,88,47,54,6,1,3
1500000US510131010002,510131010002,"Block Group 2, Census Tract 1010, Arlington County, Virginia",267,54,93,47,43,26,4,0
1500000US510131010003,510131010003,"Block Group 3, Census Tract 1010, Arlington County, Virginia",442,183,139,67,38,11,3,1
1500000US510131010004,510131010004,"Block Group 4, Census Tract 1010, Arlington County, Virginia",221,54,75,35,38,11,7,1
1500000US510131011001,510131011001,"Block Group 1, Census Tract 1011, Arlington County, Virginia",372,67,142,73,59,22,8,1
1500000US510131011002,510131011002,"Block Group 2, Census Tract 1011, Arlington County, Virginia",299,64,103,69,44,13,4,2
1500000US510131011003,510131011003,"Block Group 3, Census Tract 1011, Arlington County, Virginia",384,87,124,82,68,18,3,2
1500000US510131011004,510131011004,"Block Group 4, Census Tract 1011, Arlington County, Virginia",434,124,155,76,49,21,5,4
1500000US510131011005,510131011005,"Block Group 5, Census Tract 1011, Arlington County, Virginia",346,90,123,59,53,20,0,1
1500000US510131012001,510131012001,"Block Group 1, Census Tract 1012, Arlington County, Virginia",313,51,105,71,59,14,7,6
1500000US510131012002,510131012002,"Block Group 2, Census Tract 1012, Arlington County, Virginia",825,314,257,92,93,40,16,13
1500000US510131012003,510131012003,"Block Group 3, Census Tract 1012, Arlington County, Virginia",291,56,99,64,49,18,2,3
1500000US510131013001,510131013001,"Block Group 1, Census Tract 1013, Arlington County, Virginia",233,91,65,34,25,7,4,7
1500000US510131013002,510131013002,"Block Group 2, Census Tract 1013, Arlington County, Virginia",517,150,195,100,53,12,4,3
1500000US510131013003,510131013003,"Block Group 3, Census Tract 1013, Arlington County, Virginia",264,55,112,55,29,9,2,2
1500000US510131013004,510131013004,"Block Group 4, Census Tract 1013, Arlington County, Virginia",393,87,152,72,62,14,2,4
1500000US510131013005,510131013005,"Block Group 5, Census Tract 1013, Arlington County, Virginia",401,80,146,79,44,29,15,8
1500000US510131013006,510131013006,"Block Group 6, Census Tract 1013, Arlington County, Virginia",286,56,119,62,35,10,2,2
1500000US510131013007,510131013007,"Block Group 7, Census Tract 1013, Arlington County, Virginia",278,73,93,40,43,18,6,5
1500000US510131014001,510131014001,"Block Group 1, Census Tract 1014, Arlington County, Virginia",513,278,180,32,15,8,0,0
1500000US510131014002,510131014002,"Block Group 2, Census Tract 1014, Arlington County, Virginia",2601,1469,923,124,65,15,2,3
1500000US510131014003,510131014003,"Block Group 3, Census Tract 1014, Arlington County, Virginia",750,349,250,92,47,11,1,0
1500000US510131014004,510131014004,"Block Group 4, Census Tract 1014, Arlington County, Virginia",1205,683,353,119,39,6,2,3
1500000US510131015001,510131015001,"Block Group 1, Census Tract 1015, Arlington County, Virginia",1915,1067,545,139,102,37,20,5
1500000US510131015002,510131015002,"Block Group 2, Census Tract 1015, Arlington County, Virginia",169,44,58,32,29,5,0,1
1500000US510131015003,510131015003,"Block Group 3, Census Tract 1015, Arlington County, Virginia",167,45,48,29,27,12,3,3
1500000US510131015004,510131015004,"Block Group 4, Census Tract 1015, Arlington County, Virginia",426,134,157,71,47,10,4,3
1500000US510131015005,510131015005,"Block Group 5, Census Tract 1015, Arlington County, Virginia",360,97,128,58,52,20,4,1
1500000US510131016001,510131016001,"Block Group 1, Census Tract 1016, Arlington County, Virginia",686,265,334,54,21,5,5,2
1500000US510131016002,510131016002,"Block Group 2, Census Tract 1016, Arlington County, Virginia",185,97,57,27,3,0,1,0
1500000US510131016003,510131016003,"Block Group 3, Census Tract 1016, Arlington County, Virginia",1535,855,550,85,29,8,4,4
1500000US510131016004,510131016004,"Block Group 4, Census Tract 1016, Arlington County, Virginia",1038,693,275,39,23,5,2,1
1500000US510131017001,510131017001,"Block Group 1, Census Tract 1017, Arlington County, Virginia",2326,1557,609,96,46,12,5,1
1500000US510131017002,510131017002,"Block Group 2, Census Tract 1017, Arlington County, Virginia",1320,673,413,109,60,31,19,15
